numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune
55;ELYSEES LINCOLN;14 RUE LINCOLN;STUDIO DU DRAGON;;FIXE;NON;48.870512, 2.303157;Ile-de-France;75;75108
204;UGC OPERA;32 BD DES ITALIENS;UGC SAS;UGC DIFFUSION;FIXE;NON;48.871332, 2.335302;Ile-de-France;75;75109
301;MAX LINDER;24 BD POISSONNIERE;PARAFRANCE COMMUNICATION;;FIXE;NON;48.871363, 2.344886;Ile-de-France;75;75109
451;UGC MONTPARNASSE;83 BD DU MONTPARNASSE;UGC SAS;UGC DIFFUSION;FIXE;NON;48.84351, 2.325646;Ile-de-France;75;75106
731;MK2 ODEON COTE SAINT-GERMAIN;113 BD ST GERMAIN;PARAFRANCE COMMUNICATION;SA MK2 VISION;FIXE;NON;48.852437, 2.338266;Ile-de-France;75;75106
891;ST GERMAIN DES PRES;22 RUE GUILLAUME APOLLINAIRE;CINEMA LE BILBOQUET;;FIXE;NON;48.85467, 2.333052;Ile-de-France;75;75106
1393;LE BRADY;39 BOULEVARD DE STRASBOURG;SOCIETE THEATRE LE BRADY;;FIXE;NON;48.871771, 2.355398;Ile-de-France;75;75110
1681;UGC CINE CITE LES HALLES;101 RUE BERGER;UGC CINE CITE ILE DE FRANCE;UGC DIFFUSION;FIXE;OUI;48.861424, 2.345829;Ile-de-France;75;75101
7231;CHAPLIN SAINT LAMBERT;6 RUE PECLET;CINEMA CHAPLIN;;FIXE;NON;48.843204, 2.298558;Ile-de-France;75;75115
8331;UGC DANTON;99 BD ST GERMAIN;UGC SAS;UGC DIFFUSION;FIXE;NON;48.852138, 2.338995;Ile-de-France;75;75106
8353;UGC ODEON;124 BD ST GERMAIN;UGC SAS;UGC DIFFUSION;FIXE;NON;48.852353, 2.339834;Ile-de-France;75;75106
8422;LE CHAMPO;51 RUE DES ECOLES;SOCIETE D'EXPLOITATION DU CHAMPOLLION STUDIO DES ECOLES;;FIXE;NON;48.849983, 2.343211;Ile-de-France;75;75105
8514;EPEE DE BOIS;100 RUE MOUFFETARD;STUDIO 43;;FIXE;NON;48.841535, 2.34958;Ile-de-France;75;75105
9351;MK2 GRAND PALAIS;COURS LA REINE PORTE C;MK2 CINEMAS;SA MK2 VISION;FIXE;NON;48.8649, 2.314116;Ile-de-France;75;75108
9600;MK2 BIBLIOTHEQUE;128 A 162 AVENUE DE FRANCE;MK2 CINEMAS;SA MK2 VISION;FIXE;OUI;48.833718, 2.373922;Ile-de-France;75;75113
9616;MK2 A&E;15/43 QUAI FRANCOIS MAURIAC;MK2 A & E;SA MK2 VISION;FIXE;NON;48.832993, 2.378615;Ile-de-France;75;75113
9906;UGC CINE CITE PARIS 19;166 BOULEVARD MAC DONALD;UGC CINE CITE;UGC DIFFUSION;FIXE;OUI;48.898991, 2.376757;Ile-de-France;75;75119
75492;PARIS;PLACE DE LA LIBERTE;CINEMA LE PARIS;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.292071, 3.387558;Auvergne - Rhône-Alpes;43;43040
67333;LE ROXY;AV D ANGLETERRE;LE ROXY;;FIXE;NON;45.585925, 2.742025;Auvergne - Rhône-Alpes;63;63047
