numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;numCinema;geolocalisation;;;numCommune;nomCommune;populationCommune;numDepartement;numUniteUrbaine;nomUniteUrbaine;populationUniteUrbaine;situationGeographique;;;;;AE;categorieAE;labelAE;;;zoneCommune;nbFilmsProgrammes;nbFilmsInedits;nbFilmsSemaine1;PdMentreesFilmsFR;PdMentreesFilmsUSA;PdMentreesFilmsEUR;PdMentreesFilmsAutres;nbFilmsAE;PdMentreesFilmsAE;latitude;longitude
55;ELYSEES LINCOLN;14 RUE LINCOLN;STUDIO DU DRAGON;;FIXE;NON;55;48.870512, 2.303157;;;75108;Paris 8e Arrondissement;36694;75;851;Paris;10706072;01-Paris;;;;;OUI;A;RD;;;C;75;59;53;48,82847702;5,617302493;26,36427356;19,18994693;61;87,62891759;48.870512;2.303157
204;UGC OPERA;32 BD DES ITALIENS;UGC SAS;UGC DIFFUSION;FIXE;NON;204;48.871332, 2.335302;;;75109;Paris 9e Arrondissement;59408;75;851;Paris;10706072;01-Paris;;;;;NON;NON;;;;C;64;41;41;47,16468714;42,30156431;10,49210603;0,041642526;33;53,34226535;48.871332;2.335302
301;MAX LINDER;24 BD POISSONNIERE;PARAFRANCE COMMUNICATION;;FIXE;NON;301;48.871363, 2.344886;;;75109;Paris 9e Arrondissement;59408;75;851;Paris;10706072;01-Paris;;;;;OUI;A;;;;C;80;12;8;6,97058738;49,98399907;35,58607046;7,459343089;64;53,67294097;48.871363;2.344886
451;UGC MONTPARNASSE;83 BD DU MONTPARNASSE;UGC SAS;UGC DIFFUSION;FIXE;NON;451;48.84351, 2.325646;;;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;01-Paris;;;;;NON;NON;;;;C;101;68;63;43,58109209;38,32192339;15,69030155;2,406682967;45;39,64221679;48.84351;2.325646
731;MK2 ODEON COTE SAINT-GERMAIN;113 BD ST GERMAIN;PARAFRANCE COMMUNICATION;SA MK2 VISION;FIXE;NON;731;48.852437, 2.338266;;;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;01-Paris;;;;;NON;NON;;;;C;67;62;58;55,90664627;24,3213105;13,33991217;6,43213105;48;68,84195984;48.852437;2.338266
891;ST GERMAIN DES PRES;22 RUE GUILLAUME APOLLINAIRE;CINEMA LE BILBOQUET;;FIXE;NON;891;48.85467, 2.333052;;;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;01-Paris;;;;;OUI;A;;;;C;31;11;0;58,82001196;8,331672314;10,84313335;22,00518238;25;76,87861272;48.85467;2.333052
1393;LE BRADY;39 BOULEVARD DE STRASBOURG;SOCIETE THEATRE LE BRADY;;FIXE;NON;1393;48.871771, 2.355398;;;75110;Paris 10e Arrondissement;91770;75;851;Paris;10706072;01-Paris;;;;;OUI;A;RDJPPR;;;C;234;60;1;46,50728427;15,92890051;16,05653094;21,50728427;174;84,70613871;48.871771;2.355398
1681;UGC CINE CITE LES HALLES;101 RUE BERGER;UGC CINE CITE ILE DE FRANCE;UGC DIFFUSION;FIXE;OUI;1681;48.861424, 2.345829;;;75101;Paris 1er Arrondissement;16545;75;851;Paris;10706072;01-Paris;;;;;NON;NON;;;;C;372;221;217;38,95595129;37,70134595;14,58415993;8,758542829;207;50,51937614;48.861424;2.345829
7231;CHAPLIN SAINT LAMBERT;6 RUE PECLET;CINEMA CHAPLIN;;FIXE;NON;7231;48.843204, 2.298558;;;75115;Paris 15e Arrondissement;234994;75;851;Paris;10706072;01-Paris;;;;;OUI;A;JP;;;C;208;108;1;57,83341669;24,9816117;10,24154874;6,943422872;145;70,84056607;48.843204;2.298558
8331;UGC DANTON;99 BD ST GERMAIN;UGC SAS;UGC DIFFUSION;FIXE;NON;8331;48.852138, 2.338995;;;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;01-Paris;;;;;NON;NON;;;;C;61;55;37;49,71601122;29,11352362;14,48270904;6,687756129;33;63,62930477;48.852138;2.338995
