geolocalisation;latitude;longitude
48.870512, 2.303157;48.870512;2.303157
48.871332, 2.335302;48.871332;2.335302
48.871363, 2.344886;48.871363;2.344886
48.84351, 2.325646;48.84351;2.325646
48.852437, 2.338266;48.852437;2.338266
48.85467, 2.333052;48.85467;2.333052
48.871771, 2.355398;48.871771;2.355398
48.861424, 2.345829;48.861424;2.345829
48.843204, 2.298558;48.843204;2.298558
48.852138, 2.338995;48.852138;2.338995
48.852353, 2.339834;48.852353;2.339834
48.849983, 2.343211;48.849983;2.343211
48.841535, 2.34958;48.841535;2.34958
48.8649, 2.314116;48.8649;2.314116
48.833718, 2.373922;48.833718;2.373922
48.832993, 2.378615;48.832993;2.378615
48.898991, 2.376757;48.898991;2.376757
45.292071, 3.387558;45.292071;3.387558
45.585925, 2.742025;45.585925;2.742025
45.46071, 6.441929;45.46071;6.441929
45.677069, 6.392496;45.677069;6.392496
45.676502, 6.391967;45.676502;6.391967
45.452663, 6.567576;45.452663;6.567576
46.10617, 4.748173;46.10617;4.748173
45.731192, 4.914994;45.731192;4.914994
47.026717, 4.841456;47.026717;4.841456
48.135609, -1.537695;48.135609;-1.537695
48.02352, -1.744768;48.02352;-1.744768
48.676977, -1.85005;48.676977;-1.85005
43.31185, 3.473009;43.31185;3.473009
43.526562, 5.448932;43.526562;5.448932
43.293397, 5.567708;43.293397;5.567708
43.256071, 5.568869;43.256071;5.568869
43.332335, 5.151827;43.332335;5.151827
47.874121, -4.110036;47.874121;-4.110036
48.398083, -4.473843;48.398083;-4.473843
48.27416, -4.599116;48.27416;-4.599116
48.667568, -3.912861;48.667568;-3.912861
43.92676, 2.149209;43.92676;2.149209
44.049028, 2.157496;44.049028;2.157496
47.669814, -2.985582;47.669814;-2.985582
49.896685, 2.302146;49.896685;2.302146
43.483711, -1.508634;43.483711;-1.508634
46.631877, 1.067624;46.631877;1.067624
46.888094, 1.419282;46.888094;1.419282
45.653155, 0.150537;45.653155;0.150537
45.650367, 0.164018;45.650367;0.164018
45.650091, 0.162338;45.650091;0.162338
45.471503, -0.152462;45.471503;-0.152462
48.083036, 1.87847;48.083036;1.87847
42.547269, 3.023455;42.547269;3.023455
42.701936, 3.019408;42.701936;3.019408
47.082905, 2.387262;47.082905;2.387262
50.290037, 2.776981;50.290037;2.776981
50.506306, 2.472945;50.506306;2.472945
