annee;pourcentage
2016;49,75238385
2017;50,94974514
2018;52,14369543
2019;49,19127597
2020;51,37446103
2016;53,58945722
2017;51,69201664
2018;50,08987667
2019;49,48350476
2020;47,52702594
2016;50,24554618
2017;50,91953995
2018;51,41882786
2019;48,55287666
2020;51,31398916
2016;53,51906991
2017;53,70206822
2018;50,90623084
2019;47,16316546
2020;48,0147668
2016;
2017;
2018;
2019;
2020;
2016;56,94085591
2017;51,89381897
2018;52,74930661
2019;51,48689718
2020;54,82162598
2016;51,91538279
2017;52,12453337
2018;50,85083466
2019;48,36440577
2020;49,56240271
2016;51,75104751
2017;52,76228462
2018;53,52067668
2019;49,80442025
2020;52,55758789
2016;50,99286752
2017;52,5650305
2018;49,18544581
2019;50,9917593
2020;49,96359521
2016;51,52360998
2017;51,98566414
2018;51,46449391
2019;49,85774257
2020;53,48688016
2016;53,93466389
2017;51,49007702
2018;52,10983949
2019;52,66581792
2020;50,90213642
2016;53,72825334
2017;53,33981917
2018;51,97139779
2019;51,30139209
2020;54,25140431
2016;48,89453923
2017;52,70522458
2018;52,76125734
2019;49,98897625
2020;51,74008416
2016;50,24761615
2017;49,05025486
2018;47,85630457
2019;50,80872403
2020;48,62553897
2016;46,41054278
2017;48,30798336
2018;49,91012333
2019;50,51649524
2020;52,47297406
2016;49,75445382
2017;49,08046005
2018;48,58117214
2019;51,44712334
2020;48,68601084
2016;46,48093009
2017;46,29793178
2018;49,09376916
2019;52,83683454
2020;51,9852332
2016;
2017;
2018;
2019;
2020;
2016;43,05914409
2017;48,10618103
2018;47,25069339
2019;48,51310282
2020;45,17837402
2016;48,08461721
2017;47,87546663
2018;49,14916534
2019;51,63559423
2020;50,43759729
2016;48,24895249
2017;47,23771538
2018;46,47932332
2019;50,19557975
2020;47,44241211
2016;49,00713248
2017;47,4349695
2018;50,81455419
2019;49,0082407
2020;50,03640479
2016;48,47639002
2017;48,01433586
2018;48,53550609
2019;50,14225743
2020;46,51311984
2016;46,06533611
2017;48,50992298
2018;47,89016051
2019;47,33418208
2020;49,09786358
2016;46,27174666
2017;46,66018083
2018;48,02860221
2019;48,69860791
2020;45,74859569
2016;51,10546077
2017;47,29477542
2018;47,23874266
2019;50,01102375
2020;48,25991584
2016;16,55388825
2017;17,68787471
2018;15,82548105
2019;18,47419852
2020;17,13888569
2016;17,1503468
2017;17,62932788
2018;17,61210405
2019;19,63817234
2020;18,7358149
2016;14,22439962
2017;15,48389537
2018;17,34813182
2019;17,64776904
2020;16,66717035
2016;15,48605017
2017;15,68203894
2018;15,95866251
2019;19,17449986
2020;18,12886894
2016;
2017;
2018;
2019;
2020;
2016;14,13702218
2017;15,41179993
2018;15,61256355
2019;18,35070931
2020;18,7903603
2016;17,12266898
2017;17,02293091
2018;17,00364586
2019;20,58407776
2020;18,68209934
2016;12,61813997
2017;14,4038993
2018;13,58130189
2019;14,92074857
2020;14,60949877
2016;16,63421991
2017;16,39259148
2018;17,65560676
2019;18,93966032
2020;20,29283765
2016;15,02690615
2017;16,48035419
2018;16,65126115
2019;18,2775566
2020;19,07602104
2016;15,85716329
2017;15,75862949
2018;16,24157717
2019;19,44862162
2020;18,38821259
2016;15,64975445
2017;16,69220469
2018;17,69103322
2019;19,19710686
2020;19,19674368
2016;13,86773995
2017;13,81106589
2018;14,42785352
2019;15,94544639
2020;16,10135685
2016;18,11470506
2017;18,94196007
2018;19,80731627
2019;18,41379033
2020;20,65139142
2016;20,40853392
2017;21,66767368
2018;19,22162152
2019;17,73787438
2020;19,03064689
2016;19,28810369
2017;19,6949389
2018;19,57643514
2019;16,80608513
2020;16,81394155
2016;16,38291681
2017;18,47277355
2018;21,6744224
2019;16,93179776
2020;19,00476013
2016;
2017;
2018;
2019;
2020;
2016;17,54810002
2017;21,03262218
2018;19,67237873
2019;18,47012104
2020;19,78082503
2016;20,05795052
2017;21,10914278
2018;22,1466235
2019;18,45027818
2020;22,42702797
2016;18,07534438
2017;21,02985951
2018;21,74519276
2019;19,66285051
2020;22,22211785
2016;18,99073823
2017;21,66557849
2018;22,79951545
2019;18,82279663
2020;18,95467415
2016;18,98776142
2017;20,0305144
2018;20,82422552
2019;18,02896883
2020;19,73491627
2016;15,71971363
2017;16,65087931
2018;17,85405424
2019;16,08099017
2020;18,96973957
2016;17,92042244
2017;18,10909661
2018;18,94466702
2019;17,06412448
2020;15,9981787
2016;17,44369553
2017;17,29878471
2018;17,43097847
2019;15,616073
2020;19,95198214
2016;12,76219072
2017;12,5349439
2018;13,88029466
2019;10,72130946
2020;10,84596668
2016;11,84618993
2017;11,96413677
2018;13,75799035
2019;10,42131998
2020;12,36305502
2016;9,797083367
2017;9,088355713
2018;11,53332655
2019;11,20415479
2020;11,44036553
2016;11,78047324
2017;10,9795731
2018;11,83229358
2019;10,20899643
2020;9,052873278
2016;
2017;
2018;
2019;
2020;
2016;12,74462098
2017;12,87639064
2018;13,37774318
2019;11,15021562
2020;11,05282297
2016;14,38020237
2017;12,09378267
2018;14,51020785
2019;11,47084149
2020;10,99932715
2016;13,80384791
2017;13,3761403
2018;14,44839239
2019;11,78591326
2020;12,2290344
2016;11,83536315
2017;10,39812313
2018;11,97509131
2019;9,095852024
2020;11,78976856
2016;11,3535979
2017;10,85699217
2018;11,64498647
2019;9,126380167
2020;10,27698205
2016;13,36618651
2017;10,94804132
2018;11,91982864
2019;8,704129112
2020;9,373332628
2016;13,59426554
2017;11,68387027
2018;11,57581643
2019;9,303281149
2020;9,976987642
2016;11,43146127
2017;10,06186127
2018;12,56168327
2019;10,09076266
2020;9,497077206
2016;16,95454571
2017;16,32776322
2018;17,73302584
2019;13,80647249
2020;13,29764343
2016;17,52314944
2017;15,35592005
2018;17,20371526
2019;13,5332635
2020;12,36738949
2016;17,88672778
2017;15,04447161
2018;15,52970346
2019;13,0488941
2020;12,11999425
2016;14,50722503
2017;13,40351845
2018;16,26027204
2019;13,35449163
2020;12,84490788
2016;
2017;
2018;
2019;
2020;
2016;17,02854578
2017;15,58713341
2018;17,74716568
2019;13,88502962
2020;12,54565812
2016;18,56047231
2017;16,10687811
2018;17,86046056
2019;14,33133571
2020;12,90637742
2016;15,87840775
2017;14,92644905
2018;15,75560075
2019;12,79627397
2020;11,16024143
2016;16,00055924
2017;13,97908477
2018;15,65550417
2019;12,46589885
2020;11,97345643
2016;16,06841245
2017;15,29251502
2018;16,81646576
2019;13,98486401
2020;13,32312833
2016;16,76319963
2017;15,50934796
2018;17,41699956
2019;14,39160188
2020;14,21873749
2016;16,58390819
2017;15,62166307
2018;16,00809869
2019;13,15367324
2020;12,10221407
2016;16,25209483
2017;13,99256507
2018;14,58944136
2019;11,92621277
2020;11,13674031
2016;35,61467026
2017;34,50745811
2018;32,75388219
2019;38,58422921
2020;38,06611278
2016;33,0717799
2017;33,38294162
2018;32,20456882
2019;38,6693698
2020;37,50309369
2016;38,80368555
2017;40,6883384
2018;36,01240303
2019;41,29309693
2020;42,95852833
2016;41,84333476
2017;41,46209597
2018;34,27434947
2019;40,33021432
2020;40,96858977
2016;
2017;
2018;
2019;
2020;
2016;38,54171105
2017;35,09205384
2018;33,59014886
2019;38,1439244
2020;37,83033359
2016;29,87870582
2017;33,66726554
2018;28,47906223
2019;35,16346687
2020;34,98516813
2016;39,62425999
2017;36,26365184
2018;34,46951222
2019;40,83421369
2020;39,77910755
2016;36,53911946
2017;37,56462213
2018;31,91428231
2019;40,67579217
2020;36,98926321
2016;38,56332209
2017;37,33962422
2018;34,0630611
2019;40,5822304
2020;37,58895231
2016;38,29373694
2017;41,13310192
2018;36,56754038
2019;41,37465722
2020;39,04997772
2016;36,25164938
2017;37,89316536
2018;35,78038463
2019;41,28181427
2020;42,72587591
2016;41,00500841
2017;44,83572307
2018;40,99004339
2019;46,42150517
2020;43,31284349
2016;28,38790171
2017;30,1799225
2018;30,16806857
2019;26,40937716
2020;27,76596612
2016;25,00847094
2017;27,04252671
2018;28,85309224
2019;24,79204818
2020;24,3968545
2016;27,47933225
2017;28,59193365
2018;29,59405018
2019;27,18269784
2020;28,73708913
2016;25,03290304
2017;28,07109825
2018;27,45168725
2019;25,03133848
2020;24,48983905
2016;
2017;
2018;
2019;
2020;
2016;27,27387593
2017;29,49363454
2018;29,81360496
2019;27,64348359
2020;26,70769611
2016;25,5963805
2017;28,67321672
2018;28,31712988
2019;24,65503796
2020;26,22283016
2016;36,38083595
2017;37,14010592
2018;37,83529472
2019;34,93253518
2020;34,90045757
2016;25,75079426
2017;27,48817
2018;26,68151894
2019;25,11520329
2020;29,44569963
2016;28,7425947
2017;29,2008991
2018;28,34660147
2019;28,10424714
2020;27,7903502
2016;29,53512395
2017;30,90816715
2018;30,42784203
2019;27,20102398
2020;28,22713097
2016;24,63143188
2017;26,37735245
2018;24,88694259
2019;24,28007345
2020;22,78297371
2016;31,47609788
2017;32,27135861
2018;31,85460385
2019;29,98457494
2020;30,95016278
2016;19,03954206
2017;18,06547809
2018;21,23952847
2019;17,84842194
2020;17,7526479
2016;23,27009891
2017;21,70640358
2018;22,79393199
2019;18,55947914
2020;20,87870486
2016;20,6291296
2017;18,35570295
2018;21,24542804
2019;17,67642715
2020;17,31874773
2016;21,18391534
2017;19,70975913
2018;20,81013171
2019;17,16002752
2020;17,71423997
2016;
2017;
2018;
2019;
2020;
2016;21,68695822
2017;20,67356668
2018;22,19599578
