numUniteUrbaine;annee;nbEtablissements;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;recettes;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;nbEcrans
47501;2010;2;1507;1;13537;266322;1810204,9;11,89816052;1810204,9;1;1;127;988;28067;109489;22,36842105;9
47501;2011;2;1507;1;13880;272557;1816737,2;11,76472366;1816737,2;1;1;127;1013;29897;121871,5;23,23883996;9
47501;2012;2;1507;1;13892;261552;1722555;11,3184522;1722555;1;1;127;1045;26999;113596,5;20,34359341;9
47501;2013;2;1883;1;13918;250265;1642221,9;10,38843572;1642221,9;1;2;288;1240;30267;134973;13,22372905;12
47501;2014;2;1883;1;20777;385389;2500926,85;11,99554403;2500926,85;1;2;288;2539;56822;276055;15,55122528;12
47501;2015;2;1883;1;20828;386286;2632089,8;11,97005488;2632089,8;1;2;288;2571;47364;234174,4;12,86205417;12
47501;2016;2;1883;1;20561;379646;2595666,15;12,00417249;2595666,15;1;2;288;2647;57766;287748,2;15,23405153;12
47501;2017;2;1883;1;19940;377134;2622638,1;12,30170548;2622638,1;2;12;1883;19940;377134;2622638,1;12,30170548;12
47501;2018;2;1883;1;22839;372291;2547947,6;10,47711274;2547947,6;1;2;288;2566;65876;315815,25;18,09859774;12
47501;2019;2;1883;1;22310;389814;2672099,33;11,40401894;2672099,33;1;2;288;2631;64565;319561,7;17,22789978;12
47501;2020;2;1883;1;11168;111110;736172,34;6,371954454;736172,34;1;2;288;1183;24466;120981,1;14,3814439;12
2A501;2010;4;2279;;1297;64163;554189;6,72525132;554189;;;;;;;;4
2A501;2011;5;2574;;1366;62884;525414;6,379402172;525414;;;;;;;;5
2A501;2012;5;2574;;1402;65459;514220,5;6,800454617;514220,5;;;;;;;;5
2A501;2013;6;3006;;1451;62036;453898,5;6,350896339;453898,5;;;;;;;;6
2A501;2014;7;4153;;2256;101799;764617,44;8,86123329;764617,44;;;;;;;;12
2A501;2015;7;4153;;10566;338094;2260517,32;13,18623459;2260517,32;;;;;;;;12
2A501;2016;7;4153;;10391;380992;2572383,76;17,35009725;2572383,76;;;;;;;;12
2A501;2017;6;3053;;10165;383500;2545169,1;19,06824642;2545169,1;1;6;1147;9810;366309;2467066,6;19,48036616;11
2A501;2018;5;2625;;10301;357394;2338692,9;17,79972926;2338692,9;1;6;1147;10097;343793;2279244,9;17,74442043;10
2A501;2019;5;2625;;10360;362715;2333934;17,96985232;2333934;1;6;1147;10165;347942;2269668,5;17,84500974;10
2A501;2020;3;1761;;5052;96619;612815;9,927408541;612815;1;6;1147;5000;92569;595028;9,672558872;8
81502;2010;3;1456;;10772;216782;1271674,5;11,01751208;1271674,5;2;4;609;5124;113709;638666,3;14,56543487;8
81502;2011;3;1456;;10538;234823;1404017,75;12,04330447;1404017,75;2;4;609;4800;121790;703053,85;16,47028276;8
81502;2012;3;1456;;10711;217394;1310844,9;11,02226468;1310844,9;2;4;609;4949;88517;497986,4;11,61474277;8
81502;2013;3;2142;1;10935;213878;1273686,2;10,87746262;1273686,2;2;4;609;5005;89531;498151,2;11,63772541;12
81502;2014;3;2142;1;16801;328794;1996933,3;10,81615426;1996933,3;2;4;609;4014;52649;245651,7;8,539969927;12
81502;2015;3;2142;1;18297;316061;2015869;9,46473763;2015869;2;4;609;3758;54171;264049,1;9,377823942;12
81502;2016;3;2142;1;18457;324650;2085186,6;9,665188234;2085186,6;2;4;609;3879;69013;337881,5;11,60165082;12
81502;2017;3;2142;1;17228;307027;1997246,5;9,752914022;1997246,5;2;4;609;2606;47216;209075;11,88015177;12
81502;2018;3;2142;1;17761;279144;1864818,76;8,437233072;1864818,76;2;4;609;1805;37479;167303,51;13,78796574;12
81502;2019;3;2142;1;19338;301100;2033061,44;8,610188103;2033061,44;2;9;1675;16481;265179;1825324,83;8,68905466;12
81502;2020;3;2142;1;9430;86324;553937,25;5,02165167;553937,25;2;4;609;1759;23055;109280,95;8,560829979;12
30501;2010;2;973;;10031;190712;1227003;15,78336685;1227003;2;8;973;10031;190712;1227003;15,78336685;8
30501;2011;2;973;;10139;198377;1292476,25;16,14029692;1292476,25;2;8;973;10139;198377;1292476,25;16,14029692;8
30501;2012;2;973;;10154;184543;1209144,15;15,01740229;1209144,15;2;8;973;10154;184543;1209144,15;15,01740229;8
30501;2013;2;973;;10864;176436;1127005,15;13,42790822;1127005,15;2;8;973;10864;176436;1127005,15;13,42790822;8
30501;2014;2;973;;12389;193054;1206057,45;13,08728881;1206057,45;2;8;973;12389;193054;1206057,45;13,08728881;8
30501;2015;1;1312;1;9768;186368;1217815,25;11,42488625;1217815,25;1;8;1312;9768;186368;1217815,25;11,42488625;8
30501;2016;1;1312;1;13382;286845;2101020,5;13,32704254;2101020,5;1;8;1312;13382;286845;2101020,5;13,32704254;8
30501;2017;1;1309;1;13276;293757;2183510,63;13,86173888;2183510,63;1;8;1309;13276;293757;2183510,63;13,86173888;8
30501;2018;1;1309;1;13634;289875;2187808,2;13,24999909;2187808,2;1;8;1309;13634;289875;2187808,2;13,24999909;8
30501;2019;1;1309;1;13679;316275;2328973,04;14,57475046;2328973,04;1;8;1309;13679;316275;2328973,04;14,57475046;8
30501;2020;1;1309;1;6713;86008;618800,2;8,160616354;618800,2;1;8;1309;6713;86008;618800,2;8,160616354;8
80601;2010;3;3124;1;21711;881002;6277116,78;18,54800797;6277116,78;2;2;442;2625;65281;261983,6;10,90612324;14
80601;2011;3;3124;1;26054;940451;6667461,41;16,36132347;6667461,41;2;2;442;2602;69846;291140,25;11,76674731;14
80601;2012;3;3124;1;26759;899910;6425232,52;15,46811719;6425232,52;2;2;442;2680;66775;281080,65;10,90364298;14
80601;2013;3;3124;1;25922;824714;5892710,98;14,53224652;5892710,98;2;2;442;2631;64479;266605,51;10,76016541;14
80601;2014;3;3124;1;26412;926071;6584926,21;15,92723908;6584926,21;2;2;442;2643;71472;302370,4;11,83695371;14
