numUniteUrbaine;nomUniteUrbaine;populationUniteUrbaine
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
43202;Brioude;7392
63102;La Bourboule;2267
0;Zone rurale;14541106
73401;Albertville;40293
73401;Albertville;40293
0;Zone rurale;14541106
451;Belleville;23718
758;Lyon;1639558
21401;Beaune;21661
35206;Acigne;6521
35701;Rennes;330871
35203;Cancale;5166
34401;Agde;26946
759;Marseille - Aix-en-Provence;1585498
759;Marseille - Aix-en-Provence;1585498
13209;Carnoux-en-Provence;6615
13303;Sausset-les-Pins - Carry-le-Rouet;13515
29402;Fouesnant;23955
29701;Brest;200530
29104;Camaret-sur-Mer;2583
29124;Carantec;4470
81502;Albi;74751
81304;Carmaux;16697
56401;Auray;28513
80601;Amiens;162637
751;Bayonne (partie francaise);236730
36201;Le Blanc;6572
36109;Buzancais;4473
16601;Angouleme;109054
16601;Angouleme;109054
16601;Angouleme;109054
16107;Barbezieux-Saint-Hilaire;4687
0;Zone rurale;14541106
66401;Saint-Cyprien;53068
66301;Canet-en-Roussillon;11965
18501;Bourges;82558
62502;Arras;86845
752;Bethune;355543
57701;Metz;285268
68402;Thann - Cernay;31817
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
52101;Bourbonne-les-Bains;2118
31208;Auterive;9417
31701;Toulouse;948433
0;Zone rurale;14541106
88402;La Bresse;24384
754;Avignon;456042
54404;Pont-a-Mousson;24248
50301;Avranches;15372
757;Toulon;569793
59208;Le Cateau-Cambresis;7355
0;Zone rurale;14541106
82103;Beaumont-de-Lomagne;3744
49206;Beaupreau;22965
87202;Bellac;5191
851;Paris;10706072
851;Paris;10706072
851;Paris;10706072
44304;Pornic;19312
44701;Nantes;633690
44701;Nantes;633690
33304;Biganos;17668
0;Zone rurale;14541106
851;Paris;10706072
851;Paris;10706072
76302;Bolbec;18045
40301;Capbreton;12599
0;Zone rurale;14541106
0;Zone rurale;14541106
554;Brive-la-Gaillarde;75329
0;Zone rurale;14541106
46401;Cahors;22764
6701;Nice;943354
6701;Nice;943354
6701;Nice;943354
364;Figeac;16530
0;Zone rurale;14541106
35701;Rennes;330871
85125;La Mothe-Achard;4925
758;Lyon;1639558
758;Lyon;1639558
42204;Charlieu;9321
0;Zone rurale;14541106
71105;Charolles;2758
85123;La Chataigneraie;3843
44302;Chateaubriant;12067
58101;Chateau-Chinon (Ville);2071
36501;Chateauroux;60779
2401;Chateau-Thierry;21591
74108;Abondance;3487
851;Paris;10706072
0;Zone rurale;14541106
1124;Chatillon-sur-Chalaronne;4914
2303;Chauny;17550
851;Paris;10706072
58107;Clamecy;4165
16401;Cognac;26408
851;Paris;10706072
31701;Toulouse;948433
851;Paris;10706072
851;Paris;10706072
16102;Confolens;2711
62504;Calais;100640
58301;Cosne-Cours-sur-Loire;11508
17118;Ars-en-Re;4467
0;Zone rurale;14541106
77402;Coulommiers;27344
63701;Clermont-Ferrand;265892
758;Lyon;1639558
0;Zone rurale;14541106
60303;Crepy-en-Valois;15049
34701;Montpellier;428909
851;Paris;10706072
58201;Decize;7550
26110;Die;4576
4301;Digne-les-Bains;17038
21701;Dijon;243244
0;Zone rurale;14541106
851;Paris;10706072
80204;Doullens;6726
14302;Douvres-la-Delivrande - Luc-sur-Mer;14825
851;Paris;10706072
28401;Dreux;49055
0;Zone rurale;14541106
66401;Saint-Cyprien;53068
88501;epinal;61800
851;Paris;10706072
12201;Espalion;5892
91401;etampes;29851
851;Paris;10706072
0;Zone rurale;14541106
33701;Bordeaux;904359
56109;Le Faouet;2815
83301;Fayence;11161
2107;La Ferte-Milon;2123
753;Saint-etienne;373130
83108;Flassans-sur-Issole;3485
77406;Fontainebleau;36517
57501;Sarrebruck (ALL) - Forbach (partie francaise);83893
851;Paris;10706072
81303;Gaillac;18794
34209;Ganges;7942
5401;Gap;41248
0;Zone rurale;14541106
851;Paris;10706072
759;Marseille - Aix-en-Provence;1585498
88301;Gerardmer;9835
0;Zone rurale;14541106
1301;Gex;16504
8206;Givet;8421
76701;Le Havre;237578
46103;Gramat;3649
59602;Dunkerque;177103
6701;Nice;943354
59602;Dunkerque;177103
70301;Gray;9470
38701;Grenoble;511598
0;Zone rurale;14541106
44122;Guemene-Penfao;5231
35204;La Guerche-de-Bretagne;5391
35207;Guipry;6888
756;Douai - Lens;504537
76701;Le Havre;237578
363;Honfleur;16740
33103;Hourtin;3490
851;Paris;10706072
0;Zone rurale;14541106
0;Zone rurale;14541106
63304;Issoire;15450
851;Paris;10706072
851;Paris;10706072
56106;Josselin;2495
0;Zone rurale;14541106
22301;Lamballe;13465
29308;Landerneau;17686
5104;Laragne-Monteglin;3816
6108;Levens;4741
59702;Lille (partie francaise);1039397
76402;Lillebonne;21641
14401;Lisieux;28545
39401;Lons-le-Saunier;26894
83303;Lorgues;10853
22205;Loudeac;9615
0;Zone rurale;14541106
71301;Louhans;11877
83307;Le Luc;15177
14302;Douvres-la-Delivrande - Luc-sur-Mer;14825
70302;Lure;11135
758;Lyon;1639558
758;Lyon;1639558
44202;Machecoul;7341
851;Paris;10706072
72701;Le Mans;210018
851;Paris;10706072
851;Paris;10706072
759;Marseille - Aix-en-Provence;1585498
851;Paris;10706072
0;Zone rurale;14541106
0;Zone rurale;14541106
0;Zone rurale;14541106
77501;Meaux;74463
79203;Melle;5471
453;Eu;20095
60302;Meru;14703
851;Paris;10706072
74601;Annecy;168098
12401;Millau;23837
32105;Mirande;3932
29206;Moelan-sur-Mer;6874
354;Montpon-Menesterol;11508
47302;Fumel;11735
0;Zone rurale;14541106
85302;Montaigu;13921
45501;Montargis;55881
25601;Montbeliard;106486
0;Zone rurale;14541106
551;Montelimar;55791
17112;Montendre;3576
35208;Montfort-sur-Meu;6556
758;Lyon;1639558
86202;Montmorillon;6095
34701;Montpellier;428909
34701;Montpellier;428909
0;Zone rurale;14541106
62201;Montreuil;5014
41204;Montrichard;6854
755;Rouen;467133
6701;Nice;943354
8102;Mouzon;2356
0;Zone rurale;14541106
68701;Mulhouse;246511
0;Zone rurale;14541106
44701;Nantes;633690
11502;Narbonne;53462
11502;Narbonne;53462
47301;Nerac;11723
6701;Nice;943354
30601;Nîmes;184750
28301;Nogent-le-Rotrou;11158
851;Paris;10706072
10202;Nogent-sur-Seine;5965
85131;Noirmoutier-en-l'Île;4666
851;Paris;10706072
754;Avignon;456042
60304;Noyon;15867
26202;Nyons;6690
67303;Obernai;12211
64303;Oloron-Sainte-Marie;17065
0;Zone rurale;14541106
68116;Orbey;3576
851;Paris;10706072
0;Zone rurale;14541106
1401;Oyonnax;33118
851;Paris;10706072
56105;Le Palais;2579
79303;Parthenay;18221
64601;Pau;197713
851;Paris;10706072
84303;Pertuis;19645
33701;Bordeaux;904359
40204;Peyrehorade;7357
0;Zone rurale;14541106
851;Paris;10706072
56216;Ploermel;9571
29113;Plougonvelin;4083
86601;Poitiers;130502
54404;Pont-a-Mousson;24248
25401;Pontarlier;21760
270;Pontcharra;9333
851;Paris;10706072
0;Zone rurale;14541106
44304;Pornic;19312
66401;Saint-Cyprien;53068
40202;Pouillon;5571
66205;Prades;9414
34701;Montpellier;428909
46102;Prayssac;3372
0;Zone rurale;14541106
56208;Questembert;7440
0;Zone rurale;14541106
53104;Renaze;2529
35201;Retiers;6043
0;Zone rurale;14541106
66601;Perpignan;200971
42502;Roanne;79899
0;Zone rurale;14541106
170;La Roche-Chalais - Saint-Aigulin;4865
17601;La Rochelle;128466
59702;Lille (partie francaise);1039397
67304;La Broque;13376
851;Paris;10706072
72302;Sable-sur-Sarthe;14863
0;Zone rurale;14541106
83202;Salernes;6051
0;Zone rurale;14541106
59702;Lille (partie francaise);1039397
57302;Sarrebourg;15917
9105;Saverdun;4734
851;Paris;10706072
34502;Sete;91281
74601;Annecy;168098
11201;Sigean;5463
757;Toulon;569793
30208;Sommieres;7520
40301;Capbreton;12599
23201;La Souterraine;5315
41205;Saint-Aignan;7900
59402;Saint-Amand-les-Eaux;33873
18301;Saint-Amand-Montrond;12320
0;Zone rurale;14541106
0;Zone rurale;14541106
0;Zone rurale;14541106
22501;Saint-Brieuc;94500
33107;Saint-Ciers-sur-Gironde;3039
39302;Saint-Claude;10346
851;Paris;10706072
753;Saint-etienne;373130
753;Saint-etienne;373130
44205;Saint-etienne-de-Montluc;6840
0;Zone rurale;14541106
553;Bergerac;64508
753;Saint-etienne;373130
0;Zone rurale;14541106
0;Zone rurale;14541106
44701;Nantes;633690
50202;Saint-Hilaire-du-Harcouet;8794
87106;Saint-Leonard-de-Noblat;4633
49205;Saint-Macaire-en-Mauges;25572
0;Zone rurale;14541106
37109;Sainte-Maure-de-Touraine;4351
54701;Nancy;285659
44601;Saint-Nazaire;152164
44601;Saint-Nazaire;152164
0;Zone rurale;14541106
40401;Mont-de-Marsan;40141
62209;Saint-Pol-sur-Ternoise;8619
0;Zone rurale;14541106
758;Lyon;1639558
43203;Sainte-Sigolene;8231
65501;Tarbes;75605
751;Bayonne (partie francaise);236730
0;Zone rurale;14541106
57601;Thionville;132722
74501;Thonon-les-Bains;75939
851;Paris;10706072
66601;Perpignan;200971
31701;Toulouse;948433
37701;Tours;353042
37701;Tours;353042
759;Marseille - Aix-en-Provence;1585498
31701;Toulouse;948433
0;Zone rurale;14541106
6701;Nice;943354
651;Valence;129705
44212;Vallet;8838
7110;Les Vans;3526
851;Paris;10706072
82104;Verdun-sur-Garonne;4727
27205;Verneuil-sur-Avre;8173
27401;Vernon;31840
851;Paris;10706072
