numDepartement;nomDepartement;annee;nbHabitantsDepartement;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE
01;AIN;1966;339262;;35;12962;;;802733;313857,7681;;;;;;;;
01;AIN;2002;515270;20;35;6288;;26375;765417;4067325,54;16,31378465;10;16;2880;12208;349090;1773873;17,82521091
01;AIN;1967;339262;;34;12754;;;731594;314581,7485;;;;;;;;
01;AIN;2003;566740;20;35;6288;;26728;662587;3549898,03;13,7387541;12;18;3416;13605;347490;1783400;14,59653185
01;AIN;1968;339262;;33;12256;;;711298;331288,0265;;;;;;;;
01;AIN;2004;566740;20;35;6288;;27906;789976;4241187,9;15,92913216;12;18;3416;14279;413324;2141339;16,57184418
01;AIN;1969;339262;;32;11677;;;617923;326184,3383;;;;;;;;
01;AIN;2005;631877;20;37;6330;;29328;707405;3824315,2;14,1206861;11;17;3025;12864;307446;1559960;14,50122586
01;AIN;1970;339262;;28;10703;;;632750;354021,5289;;;;;;;;
01;AIN;2006;631877;20;37;6162;;29233;776385;4288155,86;15,33688765;11;19;3482;15500;449286;2467956;16,6412885
01;AIN;1971;339262;;27;10313;;;598529;366313,4931;;;;;;;;
01;AIN;2007;631877;20;37;6192;;28062;729508;4055607,3;15,02373291;12;20;3592;15440;433161;2392292;16,21645602
01;AIN;1972;376477;;26;9913;;;614866;421091,0166;;;;;;;;
01;AIN;2008;631877;22;47;8155;1;30433;789451;4488650,66;14,8111633;11;19;3382;15337;424017;2360594;16,30358049
01;AIN;1973;376477;;25;9631;;;557997;465940,7553;;;;;;;;
01;AIN;2009;631877;21;42;6972;1;34919;934311;5722660,65;14,83871367;12;23;3781;19214;462559;2648185;14,6469908
01;AIN;1974;376477;;25;9261;;;533322;474732,9474;;;;;;;;
01;AIN;2010;631877;20;41;6947;1;35017;996146;6316376,12;15,77685921;12;23;3781;19062;469859;2796397;14,97861241
01;AIN;1975;376477;;24;8933;;;537169;537880,8367;;;;;;;;
01;AIN;2011;631877;18;39;6756;1;34736;1057867;6738018,12;16,83340945;12;23;3816;19046;527018;3179008;16,77169569
01;AIN;1976;376477;;23;8726;;;519426;627264,4396;;;;;;;;
01;AIN;2012;631877;17;38;6546;1;35736;997657;6407308,07;15,3582071;12;23;3816;20723;499781;3070250;14,63489269
01;AIN;1977;376477;;22;8289;;;489714;651768,0275;;;;;;;;
01;AIN;2013;631877;18;39;6727;1;35671;953602;6114998,27;14,65294595;12;23;3816;20199;466583;2831850;13,7261299
01;AIN;1978;376477;;24;8667;;;502166;748587,4836;;;;;;;;
01;AIN;2014;631877;18;38;6640;1;36965;1072531;6578448,09;15,69706262;12;22;3729;20279;519661;3043675;14,56632703
01;AIN;1979;418516;;21;7957;;;535936;864818,1207;;;;;;;;
01;AIN;2015;631877;18;38;6838;1;37828;1099456;6759192,69;15,94007048;13;24;4102;22666;577090;3373425;15,0864486
01;AIN;1980;418516;;19;7397;;;449383;919679,9485;;;;;;;;
01;AIN;2016;631877;18;38;6464;1;38282;1155275;7110338,83;16,91745151;12;22;3536;21536;582944;3430316;16,32009496
01;AIN;1981;418516;;26;8101;;;573999;1411741,623;;;;;;;;
01;AIN;2017;631877;19;39;7038;1;37959;1103360;6835074,15;15,86852549;14;24;4150;22432;588720;3451005;15,54931292
01;AIN;1982;418516;;28;8399;;;848496;2442498,06;;;;;;;;
