region;annee;pourcentage
Auvergne - Rhône-Alpes;2016;49,75238385
Auvergne - Rhône-Alpes;2017;50,94974514
Auvergne - Rhône-Alpes;2018;52,14369543
Auvergne - Rhône-Alpes;2019;49,19127597
Auvergne - Rhône-Alpes;2020;51,37446103
Bourgogne - Franche-Comté;2016;53,58945722
Bourgogne - Franche-Comté;2017;51,69201664
Bourgogne - Franche-Comté;2018;50,08987667
Bourgogne - Franche-Comté;2019;49,48350476
Bourgogne - Franche-Comté;2020;47,52702594
Bretagne;2016;50,24554618
Bretagne;2017;50,91953995
Bretagne;2018;51,41882786
Bretagne;2019;48,55287666
Bretagne;2020;51,31398916
Centre - Val-de-Loire;2016;53,51906991
Centre - Val-de-Loire;2017;53,70206822
Centre - Val-de-Loire;2018;50,90623084
Centre - Val-de-Loire;2019;47,16316546
Centre - Val-de-Loire;2020;48,0147668
Corse;2016;
Corse;2017;
Corse;2018;
Corse;2019;
Corse;2020;
Grand-Est;2016;56,94085591
Grand-Est;2017;51,89381897
Grand-Est;2018;52,74930661
Grand-Est;2019;51,48689718
Grand-Est;2020;54,82162598
Hauts-de-France;2016;51,91538279
Hauts-de-France;2017;52,12453337
Hauts-de-France;2018;50,85083466
Hauts-de-France;2019;48,36440577
Hauts-de-France;2020;49,56240271
Ile-de-France;2016;51,75104751
Ile-de-France;2017;52,76228462
Ile-de-France;2018;53,52067668
Ile-de-France;2019;49,80442025
Ile-de-France;2020;52,55758789
Normandie;2016;50,99286752
Normandie;2017;52,5650305
Normandie;2018;49,18544581
Normandie;2019;50,9917593
Normandie;2020;49,96359521
Nouvelle Aquitaine;2016;51,52360998
Nouvelle Aquitaine;2017;51,98566414
Nouvelle Aquitaine;2018;51,46449391
Nouvelle Aquitaine;2019;49,85774257
Nouvelle Aquitaine;2020;53,48688016
Occitanie;2016;53,93466389
Occitanie;2017;51,49007702
Occitanie;2018;52,10983949
Occitanie;2019;52,66581792
Occitanie;2020;50,90213642
Pays de la Loire;2016;53,72825334
Pays de la Loire;2017;53,33981917
Pays de la Loire;2018;51,97139779
Pays de la Loire;2019;51,30139209
Pays de la Loire;2020;54,25140431
Provence-Alpes-Côte-d'Azur;2016;48,89453923
Provence-Alpes-Côte-d'Azur;2017;52,70522458
Provence-Alpes-Côte-d'Azur;2018;52,76125734
Provence-Alpes-Côte-d'Azur;2019;49,98897625
Provence-Alpes-Côte-d'Azur;2020;51,74008416
Auvergne - Rhône-Alpes;2016;50,24761615
Auvergne - Rhône-Alpes;2017;49,05025486
Auvergne - Rhône-Alpes;2018;47,85630457
Auvergne - Rhône-Alpes;2019;50,80872403
Auvergne - Rhône-Alpes;2020;48,62553897
Bourgogne - Franche-Comté;2016;46,41054278
Bourgogne - Franche-Comté;2017;48,30798336
Bourgogne - Franche-Comté;2018;49,91012333
Bourgogne - Franche-Comté;2019;50,51649524
Bourgogne - Franche-Comté;2020;52,47297406
Bretagne;2016;49,75445382
Bretagne;2017;49,08046005
Bretagne;2018;48,58117214
Bretagne;2019;51,44712334
Bretagne;2020;48,68601084
Centre - Val-de-Loire;2016;46,48093009
Centre - Val-de-Loire;2017;46,29793178
Centre - Val-de-Loire;2018;49,09376916
Centre - Val-de-Loire;2019;52,83683454
Centre - Val-de-Loire;2020;51,9852332
Corse;2016;
Corse;2017;
Corse;2018;
Corse;2019;
Corse;2020;
Grand-Est;2016;43,05914409
Grand-Est;2017;48,10618103
Grand-Est;2018;47,25069339
Grand-Est;2019;48,51310282
Grand-Est;2020;45,17837402
Hauts-de-France;2016;48,08461721
Hauts-de-France;2017;47,87546663
