annee,mois,nbEntrees,recettes,nbSeances
1980,janvier,14492080,33856960,14,301936
1980,fvrier,15391220,35807133,7,286448
1980,mars,15768690,36863590,14,302696
1980,avril,14597880,34356413,61,302721
1980,mai,13396210,31719899,32,874829
1980,juin,11559150,27388990,44,281828
1980,juillet,12895990,30901293,83,293609
1980,aot,13378810,32690892,85,290357
1980,septembre,13777470,35061993,39,287557
1980,octobre,15383230,39859823,13,301428
1980,novembre,15723610,41225202,26,301513
1980,dcembre,19062760,50990354,55,316722
1981,janvier,16067760,42637169,81,318687
1981,fvrier,15842730,41595607,64,290497
1981,mars,15317260,39998932,86,318333
1981,avril,14742860,39547988,66,313932
1981,mai,13668160,37424785,47,314481
1981,juin,11926230,33602202,58,292652
1981,juillet,13516130,38077602,65,302348
1981,aot,14595630,40647496,71,299412
1981,septembre,16274510,47838532,1,297156
1981,octobre,17979390,52673620,37,314757
1981,novembre,18211660,53481767,86,315097
1981,dcembre,21088810,61792297,36,337699
1982,janvier,19525820,57662590,69,335073
1982,fvrier,18081640,54602115,69,303302
1982,mars,18059450,54491056,58,331579
1982,avril,16497530,51222991,75,322572
1982,mai,13964070,43673472,5,324044
1982,juin,11686800,36480729,68,298018
1982,juillet,12805950,40069943,61,312378
1982,aot,15971960,49780732,58,317860
1982,septembre,13829580,43830677,93,314376
1982,octobre,20598570,65939840,57,336834
1982,novembre,19135590,62223621,37,328896
1982,dcembre,21777280,70734133,49,347872
1983,janvier,18521910,59942633,43,344064
1983,fvrier,17257520,55779296,51,317419
1983,mars,19126320,63789272,77,345959
1983,avril,18428750,62213620,71,334172
1983,mai,15795400,53402951,72,333414
1983,juin,11327450,37450701,8,308634
1983,juillet,11306960,37729851,19,320442
1983,aot,14325470,48292281,35,327377
1983,septembre,14365510,50104046,45,329974
1983,octobre,19495520,67920717,36,355068
1983,novembre,18878640,65921760,12,350356
1983,dcembre,20038540,68790652,44,370171
1984,janvier,16792580,57818271,62,367153
1984,fvrier,16540310,57179281,57,351965
1984,mars,17865650,62697188,99,370666
1984,avril,16738940,59639549,54,368428
1984,mai,14652540,52823584,47,356158
1984,juin,10691210,38727142,18,330693
1984,juillet,11388030,40314075,47,335121
1984,aot,13651250,48579830,69,347834
1984,septembre,15242790,56001216,54,350975
1984,octobre,18739480,68015571,14,370860
1984,novembre,17954220,65325135,64,369703
1984,dcembre,20610100,75490344,64,401232
1985,janvier,13523540,50891277,93,378915
1985,fvrier,14972470,55662368,11,350901
1985,mars,17482810,65132668,76,386388
1985,avril,15412100,58193966,98,376684
1985,mai,12289900,47218643,91,374216
1985,juin,10756340,40383775,16,345797
1985,juillet,10924590,41135409,79,346646
1985,aot,13089900,49748291,43,349345
1985,septembre,14167320,53894858,96,355394
1985,octobre,17729010,69220558,66,378713
1985,novembre,16130340,63440560,89,374375
1985,dcembre,18600470,71004456,08,401304
1986,janvier,15395920,60315035,89,389871
1986,fvrier,15534380,60104168,41,360845
1986,mars,15589830,61276165,97,398989
1986,avril,16649410,66796375,37,374924
1986,mai,12284130,50132981,28,378832
1986,juin,9360750,34892714,344430
1986,juillet,10097650,39431273,7,344986
1986,aot,11655600,46796039,98,353262
1986,septembre,11983978,50549914,09,356455
1986,octobre,16422060,67508967,81,380025
1986,novembre,15417040,64012061,77,378249
1986,dcembre,17737930,73924556,03,400364
1987,janvier,12764180,54443355,28,382661
1987,fvrier,14723190,60979728,85,359439
1987,mars,13463780,56377887,57,388549
1987,avril,12922120,53916765,89,379905
1987,mai,9193500,38697399,37,369668
1987,juin,9248250,36459356,33,345592
1987,juillet,8004670,33303067,12,336182
1987,aot,9551200,40261495,8,339923
1987,septembre,9542430,40461417,44,344760
1987,octobre,12342820,53544988,47,358742
1987,novembre,11812820,51714395,91,353983
1987,dcembre,13374790,57323574,56,373989
1988,janvier,10958120,48228801,58,359643
1988,fvrier,11712220,50829795,25,347242
1988,mars,11308880,49680100,98,357047
1988,avril,10182460,44660579,89,342273
1988,mai,7544170,33331331,17,337976
1988,juin,7171300,31068286,49,308523
1988,juillet,8067640,34214346,37,301198
1988,aot,8357330,37441310,94,301814
1988,septembre,8717100,39599760,35,311537
1988,octobre,15445120,70885698,3,340679
1988,novembre,12179130,55699702,88,335355
1988,dcembre,13105810,58088045,41,352406
1989,janvier,11763670,53222665,51,340783
1989,fvrier,11405220,51374022,99,320631
1989,mars,12033000,55363690,345039
1989,avril,11683420,54179923,38,334112
1989,mai,7245736,33401762,62,329438
1989,juin,6697164,29310838,97,305675
1989,juillet,7117810,31343472,21,298490
1989,aot,8888458,42250620,09,299564
