region,categorie,typeCategorie,annee,pourcentage
Auvergne - Rhne-Alpes,hommes,sexe,2016,49,75238385
Auvergne - Rhne-Alpes,hommes,sexe,2017,50,94974514
Auvergne - Rhne-Alpes,hommes,sexe,2018,52,14369543
Auvergne - Rhne-Alpes,hommes,sexe,2019,49,19127597
Auvergne - Rhne-Alpes,hommes,sexe,2020,51,37446103
Bourgogne - Franche-Comt,hommes,sexe,2016,53,58945722
Bourgogne - Franche-Comt,hommes,sexe,2017,51,69201664
Bourgogne - Franche-Comt,hommes,sexe,2018,50,08987667
Bourgogne - Franche-Comt,hommes,sexe,2019,49,48350476
Bourgogne - Franche-Comt,hommes,sexe,2020,47,52702594
Bretagne,hommes,sexe,2016,50,24554618
Bretagne,hommes,sexe,2017,50,91953995
Bretagne,hommes,sexe,2018,51,41882786
Bretagne,hommes,sexe,2019,48,55287666
Bretagne,hommes,sexe,2020,51,31398916
Centre - Val-de-Loire,hommes,sexe,2016,53,51906991
Centre - Val-de-Loire,hommes,sexe,2017,53,70206822
Centre - Val-de-Loire,hommes,sexe,2018,50,90623084
Centre - Val-de-Loire,hommes,sexe,2019,47,16316546
Centre - Val-de-Loire,hommes,sexe,2020,48,0147668
Corse,hommes,sexe,2016,
Corse,hommes,sexe,2017,
Corse,hommes,sexe,2018,
Corse,hommes,sexe,2019,
Corse,hommes,sexe,2020,
Grand-Est,hommes,sexe,2016,56,94085591
Grand-Est,hommes,sexe,2017,51,89381897
Grand-Est,hommes,sexe,2018,52,74930661
Grand-Est,hommes,sexe,2019,51,48689718
Grand-Est,hommes,sexe,2020,54,82162598
Hauts-de-France,hommes,sexe,2016,51,91538279
Hauts-de-France,hommes,sexe,2017,52,12453337
Hauts-de-France,hommes,sexe,2018,50,85083466
Hauts-de-France,hommes,sexe,2019,48,36440577
Hauts-de-France,hommes,sexe,2020,49,56240271
Ile-de-France,hommes,sexe,2016,51,75104751
Ile-de-France,hommes,sexe,2017,52,76228462
Ile-de-France,hommes,sexe,2018,53,52067668
Ile-de-France,hommes,sexe,2019,49,80442025
Ile-de-France,hommes,sexe,2020,52,55758789
Normandie,hommes,sexe,2016,50,99286752
Normandie,hommes,sexe,2017,52,5650305
Normandie,hommes,sexe,2018,49,18544581
Normandie,hommes,sexe,2019,50,9917593
Normandie,hommes,sexe,2020,49,96359521
Nouvelle Aquitaine,hommes,sexe,2016,51,52360998
Nouvelle Aquitaine,hommes,sexe,2017,51,98566414
Nouvelle Aquitaine,hommes,sexe,2018,51,46449391
Nouvelle Aquitaine,hommes,sexe,2019,49,85774257
Nouvelle Aquitaine,hommes,sexe,2020,53,48688016
Occitanie,hommes,sexe,2016,53,93466389
Occitanie,hommes,sexe,2017,51,49007702
Occitanie,hommes,sexe,2018,52,10983949
Occitanie,hommes,sexe,2019,52,66581792
Occitanie,hommes,sexe,2020,50,90213642
Pays de la Loire,hommes,sexe,2016,53,72825334
Pays de la Loire,hommes,sexe,2017,53,33981917
Pays de la Loire,hommes,sexe,2018,51,97139779
Pays de la Loire,hommes,sexe,2019,51,30139209
Pays de la Loire,hommes,sexe,2020,54,25140431
Provence-Alpes-Cte-d'Azur,hommes,sexe,2016,48,89453923
Provence-Alpes-Cte-d'Azur,hommes,sexe,2017,52,70522458
Provence-Alpes-Cte-d'Azur,hommes,sexe,2018,52,76125734
Provence-Alpes-Cte-d'Azur,hommes,sexe,2019,49,98897625
Provence-Alpes-Cte-d'Azur,hommes,sexe,2020,51,74008416
Auvergne - Rhne-Alpes,femmes,sexe,2016,50,24761615
Auvergne - Rhne-Alpes,femmes,sexe,2017,49,05025486
Auvergne - Rhne-Alpes,femmes,sexe,2018,47,85630457
Auvergne - Rhne-Alpes,femmes,sexe,2019,50,80872403
Auvergne - Rhne-Alpes,femmes,sexe,2020,48,62553897
Bourgogne - Franche-Comt,femmes,sexe,2016,46,41054278
Bourgogne - Franche-Comt,femmes,sexe,2017,48,30798336
Bourgogne - Franche-Comt,femmes,sexe,2018,49,91012333
Bourgogne - Franche-Comt,femmes,sexe,2019,50,51649524
Bourgogne - Franche-Comt,femmes,sexe,2020,52,47297406
Bretagne,femmes,sexe,2016,49,75445382
Bretagne,femmes,sexe,2017,49,08046005
Bretagne,femmes,sexe,2018,48,58117214
Bretagne,femmes,sexe,2019,51,44712334
Bretagne,femmes,sexe,2020,48,68601084
Centre - Val-de-Loire,femmes,sexe,2016,46,48093009
Centre - Val-de-Loire,femmes,sexe,2017,46,29793178
Centre - Val-de-Loire,femmes,sexe,2018,49,09376916
Centre - Val-de-Loire,femmes,sexe,2019,52,83683454
Centre - Val-de-Loire,femmes,sexe,2020,51,9852332
Corse,femmes,sexe,2016,
Corse,femmes,sexe,2017,
Corse,femmes,sexe,2018,
Corse,femmes,sexe,2019,
Corse,femmes,sexe,2020,
Grand-Est,femmes,sexe,2016,43,05914409
Grand-Est,femmes,sexe,2017,48,10618103
Grand-Est,femmes,sexe,2018,47,25069339
Grand-Est,femmes,sexe,2019,48,51310282
Grand-Est,femmes,sexe,2020,45,17837402
Hauts-de-France,femmes,sexe,2016,48,08461721
Hauts-de-France,femmes,sexe,2017,47,87546663
Hauts-de-France,femmes,sexe,2018,49,14916534
Hauts-de-France,femmes,sexe,2019,51,63559423
Hauts-de-France,femmes,sexe,2020,50,43759729
Ile-de-France,femmes,sexe,2016,48,24895249
Ile-de-France,femmes,sexe,2017,47,23771538
Ile-de-France,femmes,sexe,2018,46,47932332
Ile-de-France,femmes,sexe,2019,50,19557975
Ile-de-France,femmes,sexe,2020,47,44241211
Normandie,femmes,sexe,2016,49,00713248
Normandie,femmes,sexe,2017,47,4349695
Normandie,femmes,sexe,2018,50,81455419
Normandie,femmes,sexe,2019,49,0082407
Normandie,femmes,sexe,2020,50,03640479
Nouvelle Aquitaine,femmes,sexe,2016,48,47639002
Nouvelle Aquitaine,femmes,sexe,2017,48,01433586
Nouvelle Aquitaine,femmes,sexe,2018,48,53550609
Nouvelle Aquitaine,femmes,sexe,2019,50,14225743
Nouvelle Aquitaine,femmes,sexe,2020,46,51311984
Occitanie,femmes,sexe,2016,46,06533611
Occitanie,femmes,sexe,2017,48,50992298
Occitanie,femmes,sexe,2018,47,89016051
Occitanie,femmes,sexe,2019,47,33418208
Occitanie,femmes,sexe,2020,49,09786358
Pays de la Loire,femmes,sexe,2016,46,27174666
Pays de la Loire,femmes,sexe,2017,46,66018083
Pays de la Loire,femmes,sexe,2018,48,02860221
Pays de la Loire,femmes,sexe,2019,48,69860791
Pays de la Loire,femmes,sexe,2020,45,74859569
Provence-Alpes-Cte-d'Azur,femmes,sexe,2016,51,10546077
Provence-Alpes-Cte-d'Azur,femmes,sexe,2017,47,29477542
Provence-Alpes-Cte-d'Azur,femmes,sexe,2018,47,23874266
Provence-Alpes-Cte-d'Azur,femmes,sexe,2019,50,01102375
Provence-Alpes-Cte-d'Azur,femmes,sexe,2020,48,25991584
Auvergne - Rhne-Alpes,enfants (3-14 ans),age,2016,16,55388825
Auvergne - Rhne-Alpes,enfants (3-14 ans),age,2017,17,68787471
Auvergne - Rhne-Alpes,enfants (3-14 ans),age,2018,15,82548105
Auvergne - Rhne-Alpes,enfants (3-14 ans),age,2019,18,47419852
Auvergne - Rhne-Alpes,enfants (3-14 ans),age,2020,17,13888569
Bourgogne - Franche-Comt,enfants (3-14 ans),age,2016,17,1503468
Bourgogne - Franche-Comt,enfants (3-14 ans),age,2017,17,62932788
Bourgogne - Franche-Comt,enfants (3-14 ans),age,2018,17,61210405
Bourgogne - Franche-Comt,enfants (3-14 ans),age,2019,19,63817234
Bourgogne - Franche-Comt,enfants (3-14 ans),age,2020,18,7358149
Bretagne,enfants (3-14 ans),age,2016,14,22439962
Bretagne,enfants (3-14 ans),age,2017,15,48389537
Bretagne,enfants (3-14 ans),age,2018,17,34813182
